timestamp,open,high,low,close,volume
1784767680000,1937.28,1937.28,1936.81,1936.97,85.5305
1784767740000,1936.97,1937.17,1935.42,1935.84,215.2478
1784767800000,1935.84,1936.14,1935.07,1935.51,48.4506
1784767860000,1935.52,1937.63,1935.26,1937.62,189.4529
1784767920000,1937.62,1937.63,1936.12,1936.12,70.1039
1784767980000,1936.11,1936.11,1935.47,1935.89,25.2643
1784768040000,1935.89,1935.9,1935.89,1935.89,13.1873
1784768100000,1935.89,1935.89,1933.83,1933.99,201.1105
1784768160000,1933.99,1933.99,1933.65,1933.7,52.0752
1784768220000,1933.71,1933.71,1932.91,1933.26,115.792
1784768280000,1933.27,1933.35,1932.59,1932.85,60.694
1784768340000,1932.84,1933.11,1932.37,1932.37,91.0502
1784768400000,1932.36,1933.41,1932.15,1932.45,124.2314
1784768460000,1932.45,1933.37,1932.27,1932.9,70.5357
1784768520000,1932.89,1933.37,1932.53,1933.36,29.6937
1784768580000,1933.37,1933.82,1933.36,1933.74,33.0293
1784768640000,1933.75,1934.75,1933.75,1934.75,24.4491
1784768700000,1934.75,1936.35,1934.31,1936.35,65.0863
1784768760000,1936.35,1936.7,1934.56,1934.78,113.8719
1784768820000,1934.78,1935.64,1934.64,1935.27,34.3018
1784768880000,1935.28,1935.28,1931.94,1932.02,165.4962
1784768940000,1932.03,1932.19,1931.32,1931.32,47.1689
1784769000000,1931.33,1933.04,1931.22,1932.67,73.4472
1784769060000,1932.68,1933.52,1932.67,1933.03,71.6376
1784769120000,1933.03,1933.13,1932.4,1932.67,25.5414
1784769180000,1932.68,1933.36,1932.67,1933.36,18.8383
1784769240000,1933.36,1933.36,1932.95,1933.08,12.6398
1784769300000,1933.09,1933.51,1932.98,1933.51,19.9307
1784769360000,1933.5,1933.5,1931.89,1931.9,56.4637
1784769420000,1931.89,1931.9,1928.8,1929.54,432.1865
1784769480000,1929.53,1930.32,1929.23,1930.07,83.7975
1784769540000,1930.07,1930.07,1928.49,1929.04,211.3305
1784769600000,1929.04,1930.9,1928.38,1930.9,356.4912
1784769660000,1930.9,1932.87,1930.9,1932.69,74.7661
1784769720000,1932.69,1932.79,1931.89,1931.89,33.9741
1784769780000,1931.9,1932.85,1931.25,1932.7,151.651
1784769840000,1932.69,1934.68,1932.5,1932.92,246.5014
1784769900000,1932.92,1933.48,1932.49,1933.37,42.8462
1784769960000,1933.37,1933.84,1932.57,1933.84,53.3711
1784770020000,1933.84,1934.8,1933.83,1934.47,60.207
1784770080000,1934.47,1935.01,1934.08,1934.09,50.2756
1784770140000,1934.08,1934.45,1933.67,1933.68,85.3392
1784770200000,1933.67,1934.54,1930.6,1930.76,132.8275
1784770260000,1930.76,1931.34,1928.13,1928.16,342.9897
1784770320000,1928.15,1930.7,1928.15,1930.7,98.9856
1784770380000,1930.69,1930.69,1929.41,1929.78,140.2057
1784770440000,1929.77,1930.31,1928.83,1929.02,69.3182
1784770500000,1929.02,1929.32,1927.9,1928.71,111.038
1784770560000,1928.7,1928.7,1927.28,1928.19,170.7522
1784770620000,1928.19,1928.3,1926.61,1926.74,156.2967
1784770680000,1926.74,1927.95,1926.74,1926.87,180.7935
1784770740000,1926.86,1928.35,1926.86,1927.62,144.0631
1784770800000,1927.61,1928.67,1927.18,1928.29,69.7974
1784770860000,1928.3,1928.3,1927.37,1927.8,55.857
1784770920000,1927.8,1929.26,1927.8,1929.26,52.5438
1784770980000,1929.25,1929.25,1928.64,1928.65,66.6116
1784771040000,1928.65,1929.09,1928.11,1928.11,67.7858
1784771100000,1928.1,1929.51,1927.96,1929.51,36.0943
1784771160000,1929.5,1929.51,1928.35,1928.85,52.1435
1784771220000,1928.84,1928.84,1928.0,1928.06,43.4267
1784771280000,1928.07,1929.16,1928.06,1929.16,41.781
1784771340000,1929.15,1929.85,1929.15,1929.33,88.676
1784771400000,1929.33,1929.86,1928.84,1929.86,82.9697
1784771460000,1929.86,1930.05,1929.45,1929.45,57.2328
1784771520000,1929.45,1929.46,1929.04,1929.04,34.5151
1784771580000,1929.04,1929.04,1927.6,1928.58,76.8803
1784771640000,1928.58,1929.98,1928.57,1929.87,69.963
1784771700000,1929.87,1930.25,1929.68,1929.68,76.1876
1784771760000,1929.68,1929.93,1929.18,1929.91,104.7926
1784771820000,1929.91,1929.91,1929.13,1929.2,51.7191
1784771880000,1929.2,1929.21,1928.83,1928.83,30.9119
1784771940000,1928.83,1928.83,1928.39,1928.39,23.9987
1784772000000,1928.38,1928.38,1927.13,1927.13,90.5531
1784772060000,1927.13,1927.66,1926.11,1927.66,108.6813
1784772120000,1927.66,1928.43,1926.85,1926.95,79.3712
1784772180000,1926.95,1926.95,1925.31,1925.36,151.3218
1784772240000,1925.36,1929.56,1925.36,1929.5,54.5001
1784772300000,1929.51,1929.7,1927.27,1928.17,110.8053
1784772360000,1928.17,1928.28,1927.93,1928.08,78.6727
1784772420000,1928.08,1928.64,1928.0,1928.26,38.7685
1784772480000,1928.25,1928.26,1927.64,1927.87,69.0625
1784772540000,1927.86,1928.03,1927.29,1927.29,32.9452
1784772600000,1927.29,1928.09,1927.19,1927.26,73.4397
1784772660000,1927.26,1927.9,1927.05,1927.39,34.6612
1784772720000,1927.38,1927.38,1926.04,1926.22,131.6807
1784772780000,1926.22,1926.48,1925.78,1925.79,89.8653
