timestamp,open,high,low,close,volume
2025-07-25 18:00:00,3636.47,3654.71,3635.53,3649.89,10047.2607
2025-07-25 18:30:00,3649.89,3658.52,3644.89,3650.25,5176.4345
2025-07-25 19:00:00,3650.25,3658.04,3643.37,3643.97,4645.386
2025-07-25 19:30:00,3643.98,3659.75,3641.04,3641.14,5916.0771
2025-07-25 20:00:00,3641.15,3662.66,3639.5,3662.65,3346.6991
2025-07-25 20:30:00,3662.65,3697.4,3659.68,3685.12,11260.8165
2025-07-25 21:00:00,3685.13,3726.7,3685.13,3720.94,17128.7658
2025-07-25 21:30:00,3720.94,3726.62,3707.72,3719.81,9475.1789
2025-07-25 22:00:00,3719.81,3726.42,3715.2,3719.44,8866.8892
2025-07-25 22:30:00,3719.43,3730.0,3717.52,3720.07,6666.1427
2025-07-25 23:00:00,3720.06,3724.3,3708.85,3715.99,6099.603
2025-07-25 23:30:00,3715.99,3729.92,3713.76,3724.96,4391.9763
2025-07-26 00:00:00,3724.97,3728.06,3711.27,3727.62,4625.19
2025-07-26 00:30:00,3727.62,3728.0,3713.63,3725.51,4534.3645
2025-07-26 01:00:00,3725.52,3726.0,3708.43,3719.55,5690.8766
2025-07-26 01:30:00,3719.53,3721.92,3697.66,3702.13,8168.6505
2025-07-26 02:00:00,3702.12,3746.93,3702.12,3745.95,15616.943
2025-07-26 02:30:00,3745.94,3767.13,3731.05,3742.67,25472.1869
2025-07-26 03:00:00,3742.67,3743.49,3728.21,3729.13,5947.8585
2025-07-26 03:30:00,3729.14,3746.77,3728.77,3739.51,3863.5427
2025-07-26 04:00:00,3739.5,3750.2,3737.32,3745.69,8029.3492
2025-07-26 04:30:00,3745.69,3753.54,3743.84,3748.34,7396.8044
2025-07-26 05:00:00,3748.35,3750.05,3734.15,3749.83,5511.6031
2025-07-26 05:30:00,3749.84,3756.62,3745.22,3748.02,8658.2661
2025-07-26 06:00:00,3748.02,3750.54,3731.53,3738.81,4714.778
2025-07-26 06:30:00,3738.81,3744.8,3735.26,3739.78,4208.9676
2025-07-26 07:00:00,3739.77,3748.46,3738.09,3743.18,2810.6116
2025-07-26 07:30:00,3743.17,3746.8,3740.52,3742.21,3226.4973
2025-07-26 08:00:00,3742.2,3764.0,3742.2,3761.8,10575.3842
2025-07-26 08:30:00,3761.81,3779.0,3754.92,3762.73,17806.1219
2025-07-26 09:00:00,3762.73,3765.65,3750.11,3752.33,8129.0177
2025-07-26 09:30:00,3752.33,3759.76,3749.39,3759.1,4878.7448
2025-07-26 10:00:00,3759.11,3766.87,3752.56,3763.77,7782.8385
2025-07-26 10:30:00,3763.76,3782.83,3758.37,3759.93,16904.3866
2025-07-26 11:00:00,3759.94,3770.0,3743.42,3748.81,30643.7898
2025-07-26 11:30:00,3748.82,3749.22,3730.25,3739.36,13974.1623
2025-07-26 12:00:00,3739.37,3749.56,3725.0,3742.45,9425.8366
2025-07-26 12:30:00,3742.46,3751.14,3739.55,3741.98,9485.4262
2025-07-26 13:00:00,3741.98,3751.01,3736.18,3744.97,7038.5037
2025-07-26 13:30:00,3744.96,3754.2,3740.83,3743.62,7942.3882
2025-07-26 14:00:00,3743.63,3748.2,3724.57,3730.0,10927.206
2025-07-26 14:30:00,3730.0,3738.12,3725.72,3727.97,6296.0629
2025-07-26 15:00:00,3727.98,3736.35,3715.58,3724.86,7524.4812
2025-07-26 15:30:00,3724.86,3740.05,3722.82,3735.72,5800.9061
2025-07-26 16:00:00,3735.72,3741.99,3719.75,3730.77,7158.0081
2025-07-26 16:30:00,3730.77,3735.45,3723.52,3727.96,7267.3143
2025-07-26 17:00:00,3727.96,3734.85,3721.63,3731.06,3396.9906
2025-07-26 17:30:00,3731.06,3731.07,3721.6,3723.72,3252.2997
2025-07-26 18:00:00,3723.73,3733.0,3709.39,3731.59,7196.624
2025-07-26 18:30:00,3731.59,3756.0,3731.58,3740.14,15565.6082
2025-07-26 19:00:00,3740.14,3750.31,3740.1,3743.6,4346.067
2025-07-26 19:30:00,3743.6,3756.06,3739.35,3750.5,5318.922
2025-07-26 20:00:00,3750.5,3751.93,3737.37,3737.4,4657.0614
2025-07-26 20:30:00,3737.4,3749.17,3733.49,3745.36,3834.5844
2025-07-26 21:00:00,3745.35,3745.35,3738.08,3743.65,3815.2358
2025-07-26 21:30:00,3743.65,3763.65,3743.64,3758.77,5670.0396
