timestamp,open,high,low,close,volume
1784767680000,66199.76,66199.77,66177.66,66177.66,4.95082
1784767740000,66177.66,66184.0,66132.99,66133.0,123.95544
1784767800000,66133.0,66163.62,66119.99,66125.83,146.89455
1784767860000,66125.83,66172.0,66074.99,66172.0,102.77046
1784767920000,66171.99,66172.0,66132.31,66132.32,7.18431
1784767980000,66132.32,66132.32,66106.13,66122.0,4.56883
1784768040000,66122.0,66122.0,66121.99,66121.99,0.79928
1784768100000,66122.0,66122.0,66078.0,66078.0,7.73462
1784768160000,66078.0,66078.01,66060.83,66064.01,5.67042
1784768220000,66064.0,66064.0,66054.58,66060.52,3.9985
1784768280000,66060.52,66060.96,66060.51,66060.87,0.82374
1784768340000,66060.87,66067.29,66058.19,66058.19,8.24905
1784768400000,66058.2,66064.97,66036.43,66036.44,8.90616
1784768460000,66036.43,66080.0,66036.43,66080.0,7.56889
1784768520000,66079.99,66092.0,66062.62,66089.34,6.464
1784768580000,66089.35,66114.68,66089.34,66113.32,5.79728
1784768640000,66113.32,66147.99,66113.31,66147.99,1.42038
1784768700000,66148.0,66200.0,66145.35,66199.99,3.26854
1784768760000,66200.0,66208.0,66150.0,66150.01,16.09214
1784768820000,66150.01,66172.69,66137.31,66150.83,4.88555
1784768880000,66150.82,66155.14,66029.09,66038.0,11.48903
1784768940000,66038.0,66040.75,66025.0,66025.0,4.70517
1784769000000,66025.01,66055.69,66025.0,66055.67,4.73924
1784769060000,66055.68,66068.0,66050.0,66062.42,3.36901
1784769120000,66062.42,66062.42,66038.04,66038.04,4.82623
1784769180000,66038.05,66041.51,66034.33,66041.51,2.01875
1784769240000,66041.51,66042.0,66032.0,66042.0,1.88992
1784769300000,66042.0,66042.0,66032.01,66032.02,5.46841
1784769360000,66032.02,66032.02,65994.0,65997.99,9.06763
1784769420000,65998.0,66008.61,65912.0,65922.97,30.62881
1784769480000,65922.98,65932.0,65922.97,65924.85,3.45512
1784769540000,65924.86,65924.86,65899.81,65915.91,14.34657
1784769600000,65915.91,65925.59,65898.27,65924.67,6.56904
1784769660000,65924.67,65976.0,65924.67,65970.01,33.03071
